CELL	BSC	LAI	CI	BCCH	BSIC	TCH	HOP	HSN
JMKKPD9	JMSM1B1	9859	25359	51	15	[0] 11 51 71 [2] 17	[0] ON[2] OFF	[0]7[2]24
JMKKXM9	JMSM1B1	9859	25379	35	20	[0] 6 35 69 [2] 73	[0] ON[2] OFF	[0]48[2]14
JMKLCH1	JMSM1B1	9859	21711	56	11	[0] 11 56 63 [2] 4	[0] ON[2] OFF	[0]35[2]34
JMKLCH2	JMSM1B1	9859	21712	43	14	[0] 8 17 23 43 90 [2] 14	[0] ON[2] OFF	[0]36[2]20
JMKLCH3	JMSM1B1	9859	21713	50	73	[0] 6 19 50 66 [2] 80 85	[0] ON[2] OFF	[0]37[2]49
JMKNJI1	JMSM1B1	9859	22401	54	25	[0] 54 [1] 1020 [2] 26 61	[0] OFF[1] OFF[2] OFF	[0]10[1]11[2]22
JMKNJI2	JMSM1B1	9859	22402	46	34	[0] 46 64 72 [2] 80	[0] ON[2] OFF	[0]21[2]43
JMKNJI3	JMSM1B1	9859	22403	38	21	[0] 12 38 [2] 23 29	[0] OFF[2] OFF	[0]33[2]32
JMKPFG1	JMSM1B1	9859	20511	35	44	[0] 35 70 77 [2] 64	[0] ON[2] OFF	[0]14[2]48
JMKPFG2	JMSM1B1	9859	20512	51	22	[0] 15 51 73 [2] 18	[0] ON[2] OFF	[0]3[2]40
JMKPFG3	JMSM1B1	9859	20513	38	40	[0] 24 38 92 [2] 55	[0] ON[2] OFF	[0]57[2]33
JMKQCZ1	JMSM1B1	9859	25381	47	20	[0] 47 58 [2] 70 81	[0] OFF[2] OFF	[0]4[2]6
JMKQCZ2	JMSM1B1	9859	25382	55	36	[0] 2 55 [2] 62 73	[0] OFF[2] OFF	[0]5[2]38
JMKQCZ3	JMSM1B1	9859	25383	50	70	[0] 50 83 [2] 68 93	[0] OFF[2] OFF	[0]6[2]2
JMKSGL1	JMSM1B1	9859	22051	43	35	[0] 10 17 43 63 89 [2] 7 60	[0] ON[2] OFF	[0]3[2]2
JMKSGL2	JMSM1B1	9859	22052	34	14	[0] 5 21 30 34 68 [2] 82	[0] ON[2] OFF	[0]58[2]16
JMKSGL3	JMSM1B1	9859	22053	32	71	[0] 2 26 32 58 80 [1] 1020 1023 [2] 66 76 84 91	[0] ON[1] OFF[2] OFF	[0]50[1]51[2]59
JMKTYG1	JMSM1B1	9859	20271	34	32	[0] 4 8 25 34 60 64 [2] 30 74	[0] ON[2] OFF	[0]19[2]25
JMKTYG2	JMSM1B1	9859	20272	52	27	[0] 19 52 68 83 93 [2] 77 80 89	[0] ON[2] OFF	[0]20[2]55
JMKTYG3	JMSM1B1	9859	20273	56	53	[0] 14 23 56 62 [2] 72 87	[0] ON[2] OFF	[0]21[2]61
JMKTYG4	JMSM1B1	9859	20274	49	36	[0] 12 49 55 [2] 78	[0] ON[2] OFF	[0]12[2]4
JMKWGN1	JMSM1B1	9859	26021	42	10	[0] 24 42 65 69 75 [2] 93	[0] ON[2] OFF	[0]54[2]27
JMKWGN2	JMSM1B1	9859	26022	46	71	[0] 15 30 46 61 72 [2] 83	[0] ON[2] OFF	[0]6[2]46
JMKWGN3	JMSM1B1	9859	26023	44	16	[0] 5 10 44 [2] 89	[0] ON[2] OFF	[0]23[2]2
JMKWMC1	JMSM1B1	9859	20501	53	42	[0] 28 53 81 [2] 21	[0] ON[2] OFF	[0]0[2]36
JMKWMC2	JMSM1B1	9859	20502	48	20	[0] 48 59 91 94 [2] 2	[0] ON[2] OFF	[0]2[2]31
JMKWMC3	JMSM1B1	9859	20503	46	40	[0] 6 46 64 71 [2] 86	[0] ON[2] OFF	[0]60[2]21
