CELL	BSC	LAI	CI	BCCH	BSIC	
JMTXWU2	JMSM1B2	9860	20072	31	15	
JMTXWU3	JMSM1B2	9860	20073	43	63	
JMTYCN1	JMSM1B2	9860	20821	55	43	
JMTYCN2	JMSM1B2	9860	20822	52	63	
JMTYCN3	JMSM1B2	9860	20823	40	45	
JMTZHL9	JMSM1B2	9860	24049	39	32	
JMTZLI1	JMSM1B2	9860	23081	49	57	
JMTZLI2	JMSM1B2	9860	23082	53	56	
JMTZLI3	JMSM1B2	9860	23083	35	57	
JMXBMO1	JMSM1B2	9860	25001	41	74	
JMXBMO2	JMSM1B2	9860	25002	34	77	
JMXBMO3	JMSM1B2	9860	25003	43	61	
JMXDBI1	JMSM1B2	9860	20671	37	42	
JMXDBI2	JMSM1B2	9860	20672	32	62	
JMXDBS1	JMSM1B2	9860	20901	42	54	
JMXDBS2	JMSM1B2	9860	20902	52	77	
JMXDBS3	JMSM1B2	9860	20903	46	67	
JMXDFH1	JMSM1B2	9860	63271	46	65	
JMXDFH2	JMSM1B2	9860	21812	38	37	
JMXDFH3	JMSM1B2	9860	21813	32	70	
JMXDNN1	JMSM1B2	9860	22741	54	27	
JMXDNN2	JMSM1B2	9860	22742	33	44	
JMXDNN3	JMSM1B2	9860	22743	50	15	
JMXGDU1	JMSM1B2	9860	25611	34	26	
JMXGDU2	JMSM1B2	9860	25612	40	42	
JMXHCN1	JMSM1B2	9860	25011	54	13	
JMXHCN2	JMSM1B2	9860	25012	43	53	
JMXHCN3	JMSM1B2	9860	25013	49	41	
JMXHSI1	JMSM1B2	9860	23661	52	32	
JMXHSI2	JMSM1B2	9860	23662	48	45	
JMXHSI3	JMSM1B2	9860	23663	41	27	
JMXKLN1	JMSM1B2	9860	25021	47	12	
JMXKLN2	JMSM1B2	9860	25022	44	75	
JMXKLN3	JMSM1B2	9860	25023	37	25	
JMXLSN1	JMSM1B2	9860	25031	50	66	
JMXLSN2	JMSM1B2	9860	25032	54	71	
JMXLSN3	JMSM1B2	9860	25033	43	51	
JMXLUC1	JMSM1B2	9860	25041	33	11	
JMXMSN9	JMSM1B2	9860	25649	52	31	
JMXNWN1	JMSM1B2	9860	25051	48	72	
JMXNWN2	JMSM1B2	9860	25052	36	20	
JMXNWN3	JMSM1B2	9860	25053	31	47	
JMXQFY1	JMSM1B2	9860	20621	49	24	
JMXQFY2	JMSM1B2	9860	20622	37	47	
JMXQFY3	JMSM1B2	9860	20623	46	65	
JMXQJC1	JMSM1B2	9860	25061	38	22	
JMXQJC2	JMSM1B2	9860	25062	44	14	
JMXSBU1	JMSM1B2	9860	25071	51	30	
JMXSBU2	JMSM1B2	9860	25072	31	76	
JMXSBU3	JMSM1B2	9860	25073	38	27	
JMXSMG1	JMSM1B2	9860	25081	32	70	
JMXSMG2	JMSM1B2	9860	25082	48	57	
JMXSMG3	JMSM1B2	9860	25083	36	27	
JMXSQE1	JMSM1B2	9860	25091	40	24	
JMXSQE2	JMSM1B2	9860	25092	32	74	
JMXSQE3	JMSM1B2	9860	25093	35	31	
JMXSQE8	JMSM1B2	9860	25098	42	62	
JMXSQO1	JMSM1B2	9860	25101	41	36	
JMXSQO2	JMSM1B2	9860	25102	33	37	
JMXSQO3	JMSM1B2	9860	25103	50	55	
JMXSYG1	JMSM1B2	9860	63241	44	72	
JMXSYG2	JMSM1B2	9860	22772	42	37	
JMXSYG3	JMSM1B2	9860	22773	48	56	
JMXSYI1	JMSM1B2	9860	25111	53	65	
JMXSYI2	JMSM1B2	9860	25112	33	34	
JMXSYI3	JMSM1B2	9860	25113	50	43	
JMXTBC1	JMSM1B2	9860	25121	42	31	
JMXTBC2	JMSM1B2	9860	25122	48	65	
JMXTDG1	JMSM1B2	9860	25131	45	76	
JMXTDG2	JMSM1B2	9860	25132	35	67	
JMXTDG3	JMSM1B2	9860	25133	40	42	
JMXTSI1	JMSM1B2	9860	21781	38	27	
JMXTSI2	JMSM1B2	9860	21782	47	24	
JMXTSI3	JMSM1B2	9860	21783	36	25	
JMXWKN1	JMSM1B2	9860	63261	54	56	
JMXWKN2	JMSM1B2	9860	63262	44	75	
JMXWKN3	JMSM1B2	9860	22763	35	40	
JMXXJN1	JMSM1B2	9860	25141	46	77	
JMXXJN2	JMSM1B2	9860	25142	52	64	
JMXXPG1	JMSM1B2	9860	25151	41	60	
JMXXPG2	JMSM1B2	9860	25152	39	72	
JMXXPG3	JMSM1B2	9860	25153	33	76	
JMXYGG1	JMSM1B2	9860	25621	36	36	
JMXYGG2	JMSM1B2	9860	25622	33	30	
JMXYGG3	JMSM1B2	9860	25623	38	72	
JMXYNN1	JMSM1B2	9860	63251	50	43	
JMXYNN2	JMSM1B2	9860	63252	34	35	
JMXYNN3	JMSM1B2	9860	21793	40	12	
JMXYSN1	JMSM1B2	9860	20981	37	24	
JMXYSN2	JMSM1B2	9860	20982	41	72	
JMXYSN3	JMSM1B2	9860	20983	54	62	
JMXYXI1	JMSM1B2	9860	22751	53	22	
JMXYXI2	JMSM1B2	9860	22752	32	63	
JMXYXI3	JMSM1B2	9860	22753	46	53	
JMXYXI4	JMSM1B2	9860	22754	34	73	
JMXYXL1	JMSM1B2	9860	25721	51	32	
JMXYXL2	JMSM1B2	9860	25722	42	27	
JMXYXQ1	JMSM1B2	9860	25781	52	54	
JMXYXQ2	JMSM1B2	9860	25782	34	12	
JMXYXQ3	JMSM1B2	9860	25783	37	51	
JDTGHI1	JMSM2B1	9658	30001	530	35	
JDTGHI2	JMSM2B1	9658	30002	513	70	
JDTHYN1	JMSM2B1	9658	30601	520	36	
JDTHYN2	JMSM2B1	9658	30602	522	27	
JDTWCN2	JMSM2B1	9658	30702	520	23	
JDTWCN3	JMSM2B1	9658	30703	525	70	
JMJK219	JMSM2B1	9658	10002	9	30	
JMTBDU1	JMSM2B1	9658	20481	54	60	
JMTBDU2	JMSM2B1	9658	20482	47	23	
JMTBDU3	JMSM2B1	9658	20483	49	60	
JMTBDX1	JMSM2B1	9658	20491	44	60	
JMTBDX2	JMSM2B1	9658	20492	41	60	
JMTBDX3	JMSM2B1	9658	20493	60	60	
JMTBHL1	JMSM2B1	9658	20501	47	67	
JMTBHL2	JMSM2B1	9658	20502	51	60	
JMTBHL3	JMSM2B1	9658	20503	36	20	
JMTBHL8	JMSM2B1	9658	20504	43	70	
JMTBSJ1	JMSM2B1	9658	20511	50	70	
JMTBSJ2	JMSM2B1	9658	20512	55	61	
JMTBSJ3	JMSM2B1	9658	20513	45	75	
JMTBTU1	JMSM2B1	9658	23491	54	23	
JMTBTU2	JMSM2B1	9658	23492	36	27	
JMTBTU3	JMSM2B1	9658	23493	42	24	
JMTBYI1	JMSM2B1	9658	20521	56	60	
JMTBYI2	JMSM2B1	9658	20522	54	12	
JMTBYI3	JMSM2B1	9658	65443	29	60	
JMTDDK1	JMSM2B1	9658	20281	46	71	
JMTDDK2	JMSM2B1	9658	20282	58	57	
JMTDFN1	JMSM2B1	9658	20291	36	16	
JMTDFN2	JMSM2B1	9658	20292	48	17	
JMTDFN3	JMSM2B1	9658	20293	43	50	
JMTDYG1	JMSM2B1	9658	21651	48	62	
JMTDYG2	JMSM2B1	9658	21652	33	55	
JMTDYG3	JMSM2B1	9658	21653	40	56	
JMTDZI1	JMSM2B1	9658	20001	42	15	
JMTDZI2	JMSM2B1	9658	20002	36	41	
JMTDZI3	JMSM2B1	9658	20003	45	17	
JMTDZU1	JMSM2B1	9658	20301	43	36	
JMTDZU2	JMSM2B1	9658	20302	46	76	
JMTFCN1	JMSM2B1	9658	20531	36	26	
JMTFCN2	JMSM2B1	9658	20532	41	41	
JMTFCN3	JMSM2B1	9658	20533	57	71	
JMTFCO1	JMSM2B1	9658	21661	43	46	
JMTFCO2	JMSM2B1	9658	21662	46	75	
JMTFHJ1	JMSM2B1	9658	21671	48	26	
JMTFHJ2	JMSM2B1	9658	21672	56	77	
JMTFHJ3	JMSM2B1	9658	21673	46	73	
JMTGHI1	JMSM2B1	9658	21681	50	36	
JMTGHI2	JMSM2B1	9658	21682	56	72	
JMTGHI3	JMSM2B1	9658	21683	36	63	
JMTHQO1	JMSM2B1	9658	20541	45	66	
JMTHQO2	JMSM2B1	9658	20542	32	73	
JMTHQO3	JMSM2B1	9658	20543	53	41	
JMTHSN1	JMSM2B1	9658	20551	39	61	
JMTHSN2	JMSM2B1	9658	20552	42	25	
JMTHSN3	JMSM2B1	9658	20553	51	76	
JMTHSN8	JMSM2B1	9658	20558	46	74	
JMTHWN1	JMSM2B1	9658	21691	40	57	
JMTHWN2	JMSM2B1	9658	21692	45	62	
JMTHWN3	JMSM2B1	9658	21693	54	11	
JMTHWU1	JMSM2B1	9658	20561	50	67	
JMTHWU2	JMSM2B1	9658	20562	41	25	
JMTHWU3	JMSM2B1	9658	20563	54	77	
JMTHYN1	JMSM2B1	9658	20571	57	31	
JMTHYN2	JMSM2B1	9658	20572	51	41	
JMTHYN3	JMSM2B1	9658	20573	45	63	
JMTJFK1	JMSM2B1	9658	20751	33	16	
JMTJFK2	JMSM2B1	9658	20752	44	17	
JMTJFK3	JMSM2B1	9658	20753	38	30	
JMTJLE1	JMSM2B1	9658	20581	40	44	
JMTJLE2	JMSM2B1	9658	20582	48	67	
JMTJLE3	JMSM2B1	9658	20583	35	30	
JMTJUG1	JMSM2B1	9658	23461	31	74	
JMTJUG2	JMSM2B1	9658	23462	54	15	
JMTKHA1	JMSM2B1	9658	20311	41	42	
JMTKHA2	JMSM2B1	9658	20312	57	50	
JMTKHA3	JMSM2B1	9658	20313	35	60	
JMTLBI1	JMSM2B1	9658	20321	58	30	
JMTLBI3	JMSM2B1	9658	20323	42	50	
JMTLGG1	JMSM2B1	9658	20331	33	20	
JMTLGG2	JMSM2B1	9658	20332	56	22	
JMTLGG3	JMSM2B1	9658	20333	58	66	
JMTLHC1	JMSM2B1	9658	23481	54	73	
JMTLHC2	JMSM2B1	9658	23482	49	76	
JMTLHC3	JMSM2B1	9658	23483	51	71	
JMTLHU1	JMSM2B1	9658	20011	35	47	
JMTLHU2	JMSM2B1	9658	20012	33	75	
JMTLHU3	JMSM2B1	9658	20013	54	54	
JMTLWN1	JMSM2B1	9658	20341	31	61	
JMTLWN2	JMSM2B1	9658	20342	40	40	
JMTLWN3	JMSM2B1	9658	20343	55	56	
JMTMBN1	JMSM2B1	9658	20021	58	36	
JMTMBN2	JMSM2B1	9658	20022	34	10	
JMTMBN3	JMSM2B1	9658	20023	40	65	
JMTMCS1	JMSM2B1	9658	20351	49	22	
JMTMCS2	JMSM2B1	9658	20352	51	62	
JMTMCS3	JMSM2B1	9658	20353	47	10	
JMTNFU1	JMSM2B1	9658	20361	45	22	
JMTNFU2	JMSM2B1	9658	20362	43	71	
JMTNFU3	JMSM2B1	9658	20363	33	10	
JMTNLG4	JMSM2B1	9658	20594	31	67	
JMTNLJ1	JMSM2B1	9658	23601	48	64	
JMTNLJ2	JMSM2B1	9658	23602	46	24	
JMTNLJ3	JMSM2B1	9658	23603	37	15	
JMTNMA1	JMSM2B1	9658	20601	40	70	
JMTNMA2	JMSM2B1	9658	20602	47	40	
JMTNMA3	JMSM2B1	9658	20603	55	70	
JMTNMA8	JMSM2B1	9658	20608	34	71	
JMTNNN1	JMSM2B1	9658	20371	37	76	
JMTNNN2	JMSM2B1	9658	20372	35	76	
JMTNNN3	JMSM2B1	9658	20373	33	60	
JMTNNN8	JMSM2B1	9658	20378	41	10	
JMTNQN1	JMSM2B1	9658	20611	42	36	
JMTNQN2	JMSM2B1	9658	20612	34	76	
JMTNQN3	JMSM2B1	9658	20613	39	62	
JMTNQN8	JMSM2B1	9658	20618	31	55	
JMTNWN1	JMSM2B1	9658	21701	38	64	
JMTNWN2	JMSM2B1	9658	21702	42	32	
JMTNWN3	JMSM2B1	9658	21703	32	56	
JMTNWN8	JMSM2B1	9658	21708	47	75	
JMTNXI1	JMSM2B1	9658	20381	54	13	
JMTNXI2	JMSM2B1	9658	20382	58	21	
JMTNXI3	JMSM2B1	9658	20383	43	56	
JMTNZH1	JMSM2B1	9658	21711	31	10	
JMTNZH2	JMSM2B1	9658	21712	33	13	
JMTNZH3	JMSM2B1	9658	21713	52	20	
JMTPZK2	JMSM2B1	9658	20392	53	10	
JMTQSI1	JMSM2B1	9658	21731	34	33	
JMTQSI2	JMSM2B1	9658	21732	43	40	
JMTQSI3	JMSM2B1	9658	21733	31	50	
JMTSBN1	JMSM2B1	9658	20621	44	16	
JMTSBN2	JMSM2B1	9658	20622	37	55	
JMTSBN3	JMSM2B1	9658	20623	32	50	
JMTSHL1	JMSM2B1	9658	30031	52	61	
JMTSHL2	JMSM2B1	9658	30032	49	27	
JMTSHL3	JMSM2B1	9658	30033	34	50	
JMTSHU1	JMSM2B1	9658	20031	46	32	
JMTSHU2	JMSM2B1	9658	20032	58	10	
JMTSHU3	JMSM2B1	9658	20033	49	30	
JMTSJG1	JMSM2B1	9658	20401	33	36	
JMTSJG2	JMSM2B1	9658	20402	49	64	
JMTSJG3	JMSM2B1	9658	20403	39	40	
JMTSLN1	JMSM2B1	9658	20631	58	25	
JMTSLN2	JMSM2B1	9658	20632	52	25	
JMTSLN3	JMSM2B1	9658	20633	50	57	
JMTSLN8	JMSM2B1	9658	20638	34	35	
JMTSMI1	JMSM2B1	9658	20641	47	26	
JMTSMI2	JMSM2B1	9658	20642	38	75	
JMTSPI1	JMSM2B1	9658	20411	45	70	
JMTSPI2	JMSM2B1	9658	20412	35	62	
JMTSQI1	JMSM2B1	9658	20651	39	15	
JMTSQI2	JMSM2B1	9658	20652	55	73	
JMTSQI3	JMSM2B1	9658	20653	33	45	
JMTSSN1	JMSM2B1	9658	20661	49	11	
JMTSSN2	JMSM2B1	9658	20662	38	66	
JMTSZE1	JMSM2B1	9658	20041	56	66	
JMTSZE2	JMSM2B1	9658	20042	44	71	
JMTSZE3	JMSM2B1	9658	20043	48	60	
JMTTDI1	JMSM2B1	9658	20051	40	41	
JMTTDI2	JMSM2B1	9658	20052	57	77	
JMTTDI3	JMSM2B1	9658	20053	52	60	
JMTTKG1	JMSM2B1	9658	20061	47	47	
JMTTKG2	JMSM2B1	9658	20062	39	33	
JMTTPG1	JMSM2B1	9658	23471	34	12	
JMTTSH1	JMSM2B1	9658	20421	55	77	
JMTTSH2	JMSM2B1	9658	20422	48	40	
JMTTSH3	JMSM2B1	9658	20423	42	60	
JMTTSH8	JMSM2B1	9658	20428	33	32	
JMTTTO1	JMSM2B1	9658	20431	51	74	
JMTTTO2	JMSM2B1	9658	20432	45	24	
JMTTTO3	JMSM2B1	9658	20433	38	60	
JMTWCN1	JMSM2B1	9658	20671	52	70	
JMTWCN2	JMSM2B1	9658	20672	31	73	
JMTWCN3	JMSM2B1	9658	20673	37	52	
JMTWCN8	JMSM2B1	9658	20678	35	10	
JMTWTU1	JMSM2B1	9658	20681	53	52	
JMTWTU2	JMSM2B1	9658	20682	40	67	
JMTWXI1	JMSM2B1	9658	23511	32	60	
JMTWXI2	JMSM2B1	9658	23512	36	44	
JMTWXI3	JMSM2B1	9658	23513	43	53	
JMTWZI1	JMSM2B1	9658	20441	49	54	
JMTWZI2	JMSM2B1	9658	20442	31	20	
JMTWZI3	JMSM2B1	9658	20443	44	73	
JMTXDG1	JMSM2B1	9658	20451	53	12	
JMTXDG2	JMSM2B1	9658	20452	31	66	
JMTXHG1	JMSM2B1	9658	20461	33	67	
JMTXHG2	JMSM2B1	9658	20462	42	20	
JMTXHO1	JMSM2B1	9658	20691	33	25	
JMTXHO2	JMSM2B1	9658	20692	40	60	
JMTXHO3	JMSM2B1	9658	20693	43	66	
JMTXHO5	JMSM2B1	9658	20695	31	35	
JMTXHO8	JMSM2B1	9658	20698	49	32	
JMTXJG1	JMSM2B1	9658	20471	50	75	
JMTXJG2	JMSM2B1	9658	20472	37	21	
JMTXJG3	JMSM2B1	9658	20473	47	41	
JMTXJX1	JMSM2B1	9658	20071	56	20	
JMTXJX2	JMSM2B1	9658	20072	40	26	
JMTXJX3	JMSM2B1	9658	20073	53	54	
JMTXKO1	JMSM2B1	9658	20731	31	76	
JMTXKO2	JMSM2B1	9658	20732	33	70	
JMTXSZ1	JMSM2B1	9658	20701	37	73	
JMTXSZ2	JMSM2B1	9658	20702	39	10	
JMTXSZ3	JMSM2B1	9658	20703	50	16	
JMTXSZ5	JMSM2B1	9658	20705	48	65	
JMTXSZ8	JMSM2B1	9658	20708	32	55	
JMTYKG1	JMSM2B1	9658	20711	58	35	
JMTYKG2	JMSM2B1	9658	20712	34	65	
JMTYKG3	JMSM2B1	9658	20713	52	65	
JMTYND1	JMSM2B1	9658	20741	50	11	
JMTYND2	JMSM2B1	9658	20742	54	75	
JMTZMN1	JMSM2B1	9658	20721	45	52	
JMTZMN2	JMSM2B1	9658	20722	43	50	
JMTZMN3	JMSM2B1	9658	20723	38	62	
JDKCCG1	JMSM2B2	9657	30021	527	65	
JDKCCG2	JMSM2B2	9657	30022	515	64	
JMHBSD4	JMSM2B2	9657	61894	50	70	
JMHFAO1	JMSM2B2	9657	23041	47	41	
JMHFAO2	JMSM2B2	9657	61912	49	37	
JMHFHG1	JMSM2B2	9657	65469	45	13	
JMHFHG2	JMSM2B2	9657	64242	50	13	
JMHFHG3	JMSM2B2	9657	65471	37	13	
JMHGJC4	JMSM2B2	9657	23064	55	17	
JMHHNC1	JMSM2B2	9657	20761	42	43	
JMHHNC2	JMSM2B2	9657	20762	51	10	
JMHLHP1	JMSM2B2	9657	20421	58	37	
JMHLHP2	JMSM2B2	9657	20422	45	47	
JMHLHP3	JMSM2B2	9657	20423	31	75	
JMHMPZ6	JMSM2B2	9657	65411	58	76	
JMHQNN1	JMSM2B2	9657	25041	39	64	
JMHQNN2	JMSM2B2	9657	25042	58	52	
JMHQNN3	JMSM2B2	9657	25043	46	33	
JMHQZG1	JMSM2B2	9657	20031	53	27	
JMHQZG2	JMSM2B2	9657	20032	42	14	
JMHSHE1	JMSM2B2	9657	65464	58	45	
JMHSHE2	JMSM2B2	9657	65465	53	13	
JMHSHE3	JMSM2B2	9657	65402	49	51	
JMHSIH1	JMSM2B2	9657	23161	33	16	
JMHSIH2	JMSM2B2	9657	23162	35	62	
JMHSIH3	JMSM2B2	9657	61933	43	36	
JMHSQO1	JMSM2B2	9657	23171	51	67	
JMHSQO2	JMSM2B2	9657	23172	38	76	
JMHSSA4	JMSM2B2	9657	61924	44	35	
JMHSSI1	JMSM2B2	9657	65403	43	11	
JMHSSI2	JMSM2B2	9657	23192	39	11	
JMHSSW1	JMSM2B2	9657	65414	34	11	
JMHSSW2	JMSM2B2	9657	64302	31	11	
JMHSTL4	JMSM2B2	9657	65406	33	12	
JMHSYN9	JMSM2B2	9657	61909	35	76	
JMHTLG1	JMSM2B2	9657	21131	40	70	
JMHTLG2	JMSM2B2	9657	65408	52	31	
JMHTMA1	JMSM2B2	9657	20521	51	51	
JMHTMA2	JMSM2B2	9657	20522	37	54	
JMHTMA3	JMSM2B2	9657	20523	58	60	
JMHTMA8	JMSM2B2	9657	20528	46	21	
JMHWCN1	JMSM2B2	9657	20771	33	35	
JMHWCN2	JMSM2B2	9657	65401	51	26	
JMHXQU1	JMSM2B2	9657	65466	55	14	
JMHXQU2	JMSM2B2	9657	64252	51	14	
JMHXQU3	JMSM2B2	9657	65468	46	14	
JMHXTN1	JMSM2B2	9657	23231	53	64	
JMHXTN2	JMSM2B2	9657	23232	40	62	
JMHXTN3	JMSM2B2	9657	23233	31	10	
JMHYAN1	JMSM2B2	9657	23241	53	40	
JMHYAN2	JMSM2B2	9657	23242	48	31	
JMHYDU1	JMSM2B2	9657	25031	32	20	
JMHYDU2	JMSM2B2	9657	25032	43	77	
JMHYDU3	JMSM2B2	9657	25033	55	44	
JMHYLE1	JMSM2B2	9657	20791	31	15	
JMHYYI1	JMSM2B2	9657	20881	58	36	
JMHYYI2	JMSM2B2	9657	20882	38	20	
JMHZDN1	JMSM2B2	9657	20741	36	10	
JMHZDN2	JMSM2B2	9657	20742	41	44	
JMHZDN3	JMSM2B2	9657	20743	39	31	
JMHZKG1	JMSM2B2	9657	20871	35	55	
JMHZKG2	JMSM2B2	9657	20872	38	42	
JMHZWU1	JMSM2B2	9657	23271	39	70	
JMHZWU2	JMSM2B2	9657	23272	49	12	
JMHZWU3	JMSM2B2	9657	23273	32	40	
JMJK229	JMSM2B2	9657	10002	9	30	
JMKCCG1	JMSM2B2	9657	21901	55	15	
JMKCCG2	JMSM2B2	9657	21902	51	13	
JMKCCG3	JMSM2B2	9657	21903	44	42	
JMKDAT1	JMSM2B2	9657	23301	58	54	
JMKDAT2	JMSM2B2	9657	23302	32	17	
JMKDES1	JMSM2B2	9657	23311	56	63	
JMKDES2	JMSM2B2	9657	23312	53	60	
JMKDES3	JMSM2B2	9657	23313	37	33	
JMKDSA1	JMSM2B2	9657	64291	54	45	
JMKDSA2	JMSM2B2	9657	64292	50	45	
JMKDSA3	JMSM2B2	9657	64293	47	45	
JMKGPG9	JMSM2B2	9657	20389	32	57	
JMKGQU1	JMSM2B2	9657	20821	55	76	
JMKGQU2	JMSM2B2	9657	20822	49	53	
JMKGQU3	JMSM2B2	9657	20823	36	56	
JMKGTG1	JMSM2B2	9657	21761	46	35	
JMKGTG2	JMSM2B2	9657	21762	53	73	
JMKGTG3	JMSM2B2	9657	21763	48	26	
JMKJYN1	JMSM2B2	9657	20021	42	44	
JMKJYN2	JMSM2B2	9657	20022	39	44	
JMKLCG1	JMSM2B2	9657	23351	56	41	
JMKLCG2	JMSM2B2	9657	23352	42	63	
JMKLCG3	JMSM2B2	9657	23353	48	41	
JMKLCG8	JMSM2B2	9657	23358	38	15	
JMKLFG1	JMSM2B2	9657	21911	33	63	
JMKLFG2	JMSM2B2	9657	21912	51	12	
JMKLFG3	JMSM2B2	9657	21913	47	25	
JMKLXG1	JMSM2B2	9657	64281	57	22	
JMKLXG2	JMSM2B2	9657	64282	51	22	
JMKLXG3	JMSM2B2	9657	64283	33	22	
JMKLXG8	JMSM2B2	9657	64288	39	22	
JMKLXI1	JMSM2B2	9657	21921	40	73	
JMKLXI2	JMSM2B2	9657	21922	34	76	
JMKLXI3	JMSM2B2	9657	21923	52	73	
JMKMGG1	JMSM2B2	9657	20641	35	23	
JMKMGG2	JMSM2B2	9657	20642	58	62	
JMKMGG3	JMSM2B2	9657	20643	32	40	
JMKMLN1	JMSM2B2	9657	65425	36	20	
JMKMLN2	JMSM2B2	9657	65426	44	22	
JMKMLN3	JMSM2B2	9657	20143	49	30	
JMKQLW1	JMSM2B2	9657	23411	31	27	
JMKQLW2	JMSM2B2	9657	23412	40	64	
JMKQLW3	JMSM2B2	9657	65409	37	60	
JMKQSW1	JMSM2B2	9657	21931	47	16	
JMKQSW2	JMSM2B2	9657	21932	33	52	
JMKQSW3	JMSM2B2	9657	21933	41	23	
JMKSHL1	JMSM2B2	9657	20061	52	23	
JMKSHL2	JMSM2B2	9657	20062	35	66	
JMKSHL3	JMSM2B2	9657	20063	45	40	
JMKSQO1	JMSM2B2	9657	23431	32	47	
JMKSQO2	JMSM2B2	9657	23432	52	47	
JMKSQO3	JMSM2B2	9657	23433	44	34	
JMKSXI1	JMSM2B2	9657	21081	48	37	
JMKSXI2	JMSM2B2	9657	21082	55	34	
JMKSXI3	JMSM2B2	9657	65407	35	14	
JMKTBI1	JMSM2B2	9657	21941	42	76	
JMKTBI2	JMSM2B2	9657	21942	45	37	
JMKTBI3	JMSM2B2	9657	21943	56	50	
JMKXCN1	JMSM2B2	9657	21951	42	33	
JMKXCN2	JMSM2B2	9657	21952	56	61	
JMKXCN3	JMSM2B2	9657	21953	37	35	
JMKXJE1	JMSM2B2	9657	20041	46	44	
JMKXJE2	JMSM2B2	9657	20042	48	22	
JMKXSI1	JMSM2B2	9657	23451	54	30	
JMKXSI2	JMSM2B2	9657	23452	44	30	
JMKXSI3	JMSM2B2	9657	23453	46	30	
JMKXXG1	JMSM2B2	9657	25021	44	45	
JMKXXG2	JMSM2B2	9657	25022	40	45	
JMKXXG3	JMSM2B2	9657	65404	36	45	
JMKYDY1	JMSM2B2	9657	23461	36	23	
JMKYDY2	JMSM2B2	9657	23462	49	31	
JMKYDY3	JMSM2B2	9657	23463	44	40	
JMKZLG1	JMSM2B2	9657	21971	32	21	
JMKZLG2	JMSM2B2	9657	21972	38	50	
JDJBJJ1	JMSM3B1	9659	31081	528	76	
JDJBJJ2	JMSM3B1	9659	31084	532	43	
JDJBJJ3	JMSM3B1	9659	31085	518	30	
JDJBJY1	JMSM3B1	9659	31011	513	44	
JDJBJY2	JMSM3B1	9659	31082	515	32	
JDJBJY3	JMSM3B1	9659	31013	527	62	
JDJCLN1	JMSM3B1	9659	30001	515	42	
JDJCLN2	JMSM3B1	9659	30002	534	26	
JDJCLN3	JMSM3B1	9659	30003	537	63	
JDJDHC1	JMSM3B1	9659	31051	518	30	
JDJDHC2	JMSM3B1	9659	31052	532	40	
JDJDHC3	JMSM3B1	9659	31083	535	55	
JDJHER1	JMSM3B1	9659	31061	535	56	
JDJHER2	JMSM3B1	9659	31062	530	76	
JDJHER3	JMSM3B1	9659	31063	513	17	
JDJHSY1	JMSM3B1	9659	31371	531	36	
JDJHSY2	JMSM3B1	9659	31372	519	70	
JDJHSY3	JMSM3B1	9659	31373	525	42	
JDJHTG1	JMSM3B1	9659	31001	516	54	
JDJHTG2	JMSM3B1	9659	31002	533	46	
JDJHTG3	JMSM3B1	9659	31003	512	64	
JDJJXC1	JMSM3B1	9659	30311	526	13	
JDJJXC2	JMSM3B1	9659	30312	522	30	
JDJJXC3	JMSM3B1	9659	30313	533	20	
JDJRMY1	JMSM3B1	NULL	NULL	NULL	
JDJTXH1	JMSM3B1	9659	31021	517	66	
JDJTXH2	JMSM3B1	9659	31022	528	61	
JDJTXH3	JMSM3B1	9659	31023	515	47	
JDJWHI1	JMSM3B1	9659	30011	520	23	
JDJWHI2	JMSM3B1	9659	30012	527	67	
JDJWHI3	JMSM3B1	9659	30013	531	43	
JDJXFL1	JMSM3B1	9659	31041	526	43	
JDJXFL2	JMSM3B1	9659	31042	535	12	
JDJXFL3	JMSM3B1	9659	31043	523	66	
JMCS319	JMSM3B1	9659	10001	9	77	
JMJBJJ1	JMSM3B1	9659	27011	46	34	
JMJBJJ2	JMSM3B1	9659	27012	32	40	
JMJBJJ3	JMSM3B1	9659	27013	44	44	
JMJBJY1	JMSM3B1	9659	27021	54	73	
JMJBJY2	JMSM3B1	9659	27022	48	36	
JMJBJY3	JMSM3B1	9659	27023	42	77	
JMJBLC1	JMSM3B1	9659	65406	39	55	
JMJBLC2	JMSM3B1	9659	26062	52	64	
JMJBLC3	JMSM3B1	9659	26063	35	44	
JMJBSD9	JMSM3B1	9659	27039	43	42	
JMJCLE1	JMSM3B1	9659	62481	42	66	
JMJCLE2	JMSM3B1	9659	62482	38	31	
JMJCLE3	JMSM3B1	9659	25013	45	44	
JMJCLN1	JMSM3B1	9659	62471	54	27	
JMJCLN2	JMSM3B1	9659	62472	50	26	
JMJCLN3	JMSM3B1	9659	25003	44	60	
JMJCLX1	JMSM3B1	9659	26071	37	54	
JMJCLX2	JMSM3B1	9659	26072	34	35	
JMJCLX3	JMSM3B1	9659	26073	42	21	
JMJDHC1	JMSM3B1	9659	27051	31	35	
JMJDHC2	JMSM3B1	9659	27052	39	57	
JMJDHC3	JMSM3B1	9659	27053	33	34	
JMJFTG1	JMSM3B1	9659	65447	53	73	
JMJGCN1	JMSM3B1	9659	65464	32	32	
JMJGCN2	JMSM3B1	9659	65401	36	47	
JMJGCN3	JMSM3B1	9659	65402	50	27	
JMJHER1	JMSM3B1	9659	62501	35	67	
JMJHER2	JMSM3B1	9659	25052	49	37	
JMJHER3	JMSM3B1	9659	25053	41	44	
