CELL	BSC	LAI	CI	BCCH	BSIC	
JMJYHX2	JMM11B2	9291	22352	52	50	
JMJYHX3	JMM11B2	9291	22353	34	35	
JMJYSN1	JMM11B2	9291	22531	44	71	
JMJYSN2	JMM11B2	9291	22532	41	12	
JMJYWN1	JMM11B2	9291	22551	40	47	
JMJYWN2	JMM11B2	9291	22552	32	15	
JMJYWN3	JMM11B2	9291	22553	43	46	
JMJYXG1	JMM11B2	9291	20441	35	26	
JMJYXG2	JMM11B2	9291	20442	38	72	
JMJYXG3	JMM11B2	9291	20443	52	75	
JMJYXG8	JMM11B2	9291	20448	46	11	
JMJYXN1	JMM11B2	9291	20081	35	71	
JMJYXN2	JMM11B2	9291	20082	46	66	
JMJYXN3	JMM11B2	9291	20083	54	17	
JMJZCH2	JMM11B2	9291	23012	50	20	
JMJZCH3	JMM11B2	9291	23013	39	52	
JMJZHC1	JMM11B2	9291	20371	34	36	
JMJZHC2	JMM11B2	9291	20372	43	65	
JMJZHC3	JMM11B2	9291	20373	36	30	
JMJZHC9	JMM11B2	9291	20379	41	32	
JMM11B1	JMM11B2	9291	11111	3	64	
JMM11B2	JMM11B2	9291	11111	12	67	
JMXDHI1	JMM11B2	9291	20831	38	30	
JMXDHI2	JMM11B2	9291	20832	50	61	
JMXDHI3	JMM11B2	9291	20833	52	35	
JMXDJL1	JMM11B2	9291	26071	32	73	
JMXDJL2	JMM11B2	9291	26072	51	72	
JMXDJL3	JMM11B2	9291	26073	42	71	
JMXDJO5	JMM11B2	9292	22605	43	31	
JMXJLC1	JMM11B2	9291	20001	35	65	
JMXJLC2	JMM11B2	9291	20002	52	77	
JMXJLC3	JMM11B2	9291	20003	47	11	
JMXJRU4	JMM11B2	9291	25684	40	23	
JMXJRU5	JMM11B2	9291	25685	48	17	
JMXJRU6	JMM11B2	9291	25686	36	74	
JMXJZC9	JMM11B2	9291	20069	52	73	
JMXWSC1	JMM11B2	9291	26081	38	70	
JMXWSC4	JMM11B2	9291	26084	49	26	
JMXWSC5	JMM11B2	9291	26085	53	70	
JDXBFC1	JMM11B3	9292	32261	518	35	
JDXBFC2	JMM11B3	9292	32262	536	20	
JDXBFC3	JMM11B3	9292	32263	530	17	
JDXBFC4	JMM11B3	9292	32264	521	65	
JDXBXL1	JMM11B3	9292	34101	513	25	
JDXBYN1	JMM11B3	9292	31801	517	76	
JDXBYN2	JMM11B3	9292	31802	522	74	
JDXBYN3	JMM11B3	9292	31803	526	76	
JDXCBL1	JMM11B3	9292	30991	528	47	
JDXCBL2	JMM11B3	9292	30992	536	11	
JDXCBL3	JMM11B3	9292	30993	525	21	
JDXCDG1	JMM11B3	9292	35821	525	40	
JDXCDG2	JMM11B3	9292	35822	521	61	
JDXCDG3	JMM11B3	9292	35823	537	71	
JDXDHU1	JMM11B3	9292	31991	523	35	
JDXDHU2	JMM11B3	9292	31992	527	21	
JDXDHU3	JMM11B3	9292	31993	512	44	
JDXDJO1	JMM11B3	9292	32211	537	52	
JDXDJO2	JMM11B3	9292	32212	522	70	
JDXDJO3	JMM11B3	9292	32213	533	77	
JDXDQG1	JMM11B3	9292	30731	534	63	
JDXDQG2	JMM11B3	9292	30732	523	64	
JDXDQG3	JMM11B3	9292	30733	530	60	
JDXDQG8	JMM11B3	9292	30738	519	54	
JDXDWD1	JMM11B3	9292	30101	531	76	
JDXDWD2	JMM11B3	9292	30102	536	75	
JDXDWD3	JMM11B3	9292	30103	520	15	
JDXDXG1	JMM11B3	9292	30961	518	21	
JDXDXG2	JMM11B3	9292	30962	535	50	
JDXDXG3	JMM11B3	9292	30963	516	20	
JDXGFS1	JMM11B3	9292	32701	527	23	
JDXGFS2	JMM11B3	9292	32702	523	16	
JDXGFS3	JMM11B3	9292	32703	517	14	
JDXGRL1	JMM11B3	9292	30551	526	62	
JDXGRL2	JMM11B3	9292	30552	521	70	
JDXGRL3	JMM11B3	9292	30553	514	57	
JDXHLI1	JMM11B3	9292	30431	526	67	
JDXHLI2	JMM11B3	9292	30432	513	47	
