MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B2	JDTLDI2	JDTLDI	9860	30022	522	26	台山利迪D2	台山利迪D2	112.803	22.25026	220	0	6	0				42	6
GZS06V	JMSM1B2	JDTLDI3	JDTLDI	9860	30023	528	62	台山利迪D3	台山利迪D3	112.803	22.25026	330	0	8	0				57	8
GZS06V	JMSM1B2	JDTNKL1	JDTNKL	9860	30801	525	25	台山农科楼D1	台山农科楼D1	112.81325	22.25014	60	0	8	0				0	0
GZS06V	JMSM1B2	JDTNKL2	JDTNKL	9860	30802	520	26	台山农科楼D2	台山农科楼D2	112.81325	22.25014	150	0	8	0				29	4
GZS06V	JMSM1B2	JDTNKL3	JDTNKL	9860	30803	518	25	台山农科楼D3	台山农科楼D3	112.81325	22.25014	290	0	10	0				54	8
GZS06V	JMSM1B2	JDTSBE3	JDTSBE	9860	30663	527	47	台山水步二D3	台山水步二D3	112.796139	22.341667	260	0	6	0				59	8
GZS06V	JMSM1B2	JDTSBU1	JDTSBU	9860	30651	517	35	台山水步D1	台山水步D1	112.79091	22.3334	50	0	10	0				38	6
GZS06V	JMSM1B2	JDTSHS1	JDTSHS	9860	34021	514	76	台山石花山D1	台山石花山D1	112.80311	22.2697	50	0	4	0				62	8
GZS06V	JMSM1B2	JDTSHS2	JDTSHS	9860	34022	529	15	台山石花山D2	台山石花山D2	112.80311	22.2697	140	0	4	0				62	8
GZS06V	JMSM1B2	JDTSJU1	JDTSJU	9860	30681	530	30	台山四九D1	台山四九D1	112.851944	22.2175	60	0	8	0				41	6
GZS06V	JMSM1B2	JDTSJU2	JDTSJU	9860	30682	515	41	台山四九D2	台山四九D2	112.851944	22.2175	180	0	4	0				14	2
GZS06V	JMSM1B2	JDTXHU1	JDTXHU	9860	34031	537	15	台山西湖D1	台山西湖D1	112.82194	22.24138	20	0	7	0				58	8
GZS06V	JMSM1B2	JDTXHU2	JDTXHU	9860	34032	528	23	台山西湖D2	台山西湖D2	112.82194	22.24138	140	0	7	0				58	8
GZS06V	JMSM1B2	JDTZHL1	JDTZHL	9860	30701	514	67	台山综合楼D1	台山综合楼D1	112.817237	22.25	20	0	6	0				27	4
GZS06V	JMSM1B2	JDTZHL2	JDTZHL	9860	30702	524	65	台山综合楼D2	台山综合楼D2	112.817237	22.25	160	0	8	0				28	4
GZS06V	JMSM1B2	JDTZHL3	JDTZHL	9860	30703	530	36	台山综合楼D3	台山综合楼D3	112.817237	22.25	240	0	8	0				27	4
GZS06V	JMSM1B2	JDXNWN3	JDXNWN	9860	30013	528	73	新会牛湾D3	新会牛湾D3	112.843077	22.437103	310	0	0	0				28	4
GZS06V	JMSM1B2	JMTBFS1	JMTBFS	9860	20661	35	76	台山北峰山1	台山北峰山1	112.947296	22.255275	180	0	10	0				6	1
GZS06V	JMSM1B2	JMTBFS2	JMTBFS	9860	20662	31	53	台山北峰山2	台山北峰山2	112.947296	22.255275	320	0	9	0				6	1
GZS06V	JMSM1B2	JMTBFS3	JMTBFS	9860	20663	33	61	台山北峰山3	台山北峰山3	112.947296	22.255275	300	0	8	0				30	4
GZS06V	JMSM1B2	JMTBKG1	JMTBKG	9860	26011	39	67	台山北坑1	台山北坑1	112.781111	22.303889	10	0	2	0				25	4
GZS06V	JMSM1B2	JMTBKG2	JMTBKG	9860	26012	36	57	台山北坑2	台山北坑2	112.781111	22.303889	100	0	1	0				38	6
GZS06V	JMSM1B2	JMTBKG3	JMTBKG	9860	26013	54	24	台山北坑3	台山北坑3	112.781111	22.303889	210	0	1	0				13	2
GZS06V	JMSM1B2	JMTBTN1	JMTBTN	9860	20081	56	15	台山板潭1	台山板潭1	112.867028	22.209167	10	0	7	0				21	3
GZS06V	JMSM1B2	JMTBTN2	JMTBTN	9860	20082	31	77	台山板潭2	台山板潭2	112.867028	22.209167	140	0	5	0				36	5
